Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Jordan air low women (groen),80.0,NIKE,VERT FONCÉ,38.5,https://www.vinted.fr/items/3884589076-jordan-air-low-women-groen?referrer=catalog,https://images1.vinted.net/t/02_01d26_86WLGbpWs13L3L6BNc2nYmeg/310x430/1702643719.jpeg?s=29f061c9c2ec553402e33b62dad6dc65e1841287,"ROTTERDAM, PAYS-BAS",Women
Nike sneakers 43 beige roze ,45.0,NIKE,"BEIGE, ROSE",43,https://www.vinted.fr/items/3898991421-nike-sneakers-43-beige-roze?referrer=catalog,https://images1.vinted.net/t/01_00049_2rJWvm83BpTS3C6bmoEQgo5r/310x430/1703084063.jpeg?s=06af9911e1c4875d6e210d317fd40a258f1e8675,"LEIDEN, PAYS-BAS",Women
Nike Air Force Shadow,90.0,NIKE,BLANC,36.5,https://www.vinted.fr/items/3897765955-nike-air-force-shadow?referrer=catalog,https://images1.vinted.net/t/01_01ac9_dtaaCPNJnvQ7AshE2tziCKQe/310x430/1703025384.jpeg?s=3ee024f25ad168628176e794c8dc157ddb96e4a7,"ALMELO, PAYS-BAS",Women
Nike Sportswear blazer mid maat 36.5,70.0,NIKE,BLANC,36.5,https://www.vinted.fr/items/3874648304-nike-sportswear-blazer-mid-maat-365?referrer=catalog,https://images1.vinted.net/t/03_0143b_Y4gZQJQUVudwdiPPBjPhi7Jw/310x430/1702379684.jpeg?s=8fae07ddefd4b374b32b142825a6d288c83cc2fc,BELGIQUE,Women
Nike panda dunk.,40.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3814118345-nike-panda-dunk?referrer=catalog,https://images1.vinted.net/t/01_004a4_S45w4En5EfwcGBgRHPTF1zCm/310x430/1701026557.jpeg?s=4fe487e3af5a307275ec45eccb54ac8b7677ba27,"STEENBERGEN, PAYS-BAS",Women
Sportschoenen Nike,30.0,NIKE,"NOIR, LILA",36.5,https://www.vinted.fr/items/3724489170-sportschoenen-nike?referrer=catalog,https://images1.vinted.net/t/02_01acf_hkCrTnj8XYeoykvJ5jFkvJC5/310x430/1699338804.jpeg?s=246f144a9d73bf66ae17dbbd3828036cdf370a15,PAYS-BAS,Women
Nike Running Shoes,20.0,NIKE,"NOIR, ROSE",42,https://www.vinted.fr/items/3894409480-nike-running-shoes?referrer=catalog,https://images1.vinted.net/t/01_01be3_VZj9J8ngwQzQgwWQxso5P2jz/310x430/1702918659.jpeg?s=be12e0f2e7667bd3f73f2826bbe3289d5507dbde,"TISSELT, BELGIQUE",Women
Zwarte Nike - maat 38,5.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3660145888-zwarte-nike-maat-38?referrer=catalog,https://images1.vinted.net/t/02_007b4_UkQoacaMmkR7THmcwDRfLNVu/310x430/1698170977.jpeg?s=9e3f56ce7b348b5cede981ad457083c90282c886,"HAMME, BELGIQUE",Women
Nike dunks nog gelijk Nieuw mag weg voor 50 Euro ,50.0,NIKE,GRIS,37.5,https://www.vinted.fr/items/3586877798-nike-dunks-nog-gelijk-nieuw-mag-weg-voor-50-euro?referrer=catalog,https://images1.vinted.net/t/03_01fde_JGxpqxR8GnKa3o857zs36jam/310x430/1696873252.jpeg?s=50337d3e7c244713a4f18ff54cea4f94ef2bb67b,BELGIQUE,Women
Nike shox sneakers,70.0,NIKE,"BLANC, ORANGE",38.5,https://www.vinted.fr/items/3464500373-nike-shox-sneakers?referrer=catalog,https://images1.vinted.net/t/02_00fbe_hsgJ691AMLFN3XruWykq1BKa/310x430/1694528541.jpeg?s=05556f3dd10ab8b64712ef7c5d4472b1a997eff3,PAYS-BAS,Women
