Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike Air Force 1,36.0,NIKE,KAKI,"40,5",https://www.vinted.fr/items/3434621525-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00db7_FP5Yf2qimziJGQbKwM1F4ze4/310x430/1693836722.jpeg?s=c838d7bbb129c9d6f351a9b103fdab375ca3c320,ESPAGNE,Women
Nike Air Force 1,5.0,NIKE,"BLEU, JAUNE","40,5",https://www.vinted.fr/items/3639577938-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_023d5_t8rfdspW3N2DSoChdJrED53f/310x430/1697877568.jpeg?s=0e8c230f6661e8e6853ed95b7dd7b5bf69902db3,"BILBAO, ESPAGNE",Women
Nike Air Force 1 Luxe,90.0,NIKE,NOIR,44,https://www.vinted.fr/items/3875244791-nike-air-force-1-luxe?referrer=catalog,https://images1.vinted.net/t/01_01671_bkwFyRwm3wTqLNtSgCKj14FR/310x430/1702389801.jpeg?s=bb0e22d11baf51796e1bbe580741f06951495290,"GENK, BELGIQUE",Women
Air Force 1 ,85.0,NIKE,"NOIR, BLANC",43,https://www.vinted.fr/items/3536073277-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_021d3_nTvjh9MEJWWgc4YF3seV472e/310x430/1695918660.jpeg?s=d6702bd20096d2362241573342e291398742e7f0,"VALENCIA, ESPAGNE",Women
Nike air force 1,70.0,NIKE,BLANC,"45,5",https://www.vinted.fr/items/3820528534-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_0037d_cisUBgkDU52qQNLnwe8WKYCK/310x430/1701173549.jpeg?s=15eef97207d91e469b154aaa89b819fbb1c8b16a,"AIX-LES-BAINS, FRANCE",Women
Nike air force 1,79.0,NIKE,"BEIGE, MARRON",39,https://www.vinted.fr/items/3833770688-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_0263a_sGbqsvGqDrZdrwRqgEqrVpos/310x430/1701460427.jpeg?s=2a32a592d043bea2c172839e01fac250bb0eab79,"SAINT-MÉDARD-D'EYRANS, FRANCE",Women
Air force 1 ,38.0,NIKE,BLANC,40,https://www.vinted.fr/items/3872211441-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_008d9_tHWJ2u2GmkM4JwhVGeWoR6mu/310x430/1702311486.jpeg?s=7e9d4bef426ba63b1d9d9933ff0837db0b19cc16,"BOUXWILLER, FRANCE",Women
Air Force 1,20.0,NIKE,BLANC,"40,5",https://www.vinted.fr/items/3863398519-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01313_d94iomk4U1TM4MLZmMozrJ8N/310x430/1702137167.jpeg?s=2b43ea422f7df566b4c4ad3e8318837013e875b9,"BURJASSOT, ESPAGNE",Women
Air Force 1 ,45.0,NIKE,"BLANC, ORANGE",45,https://www.vinted.fr/items/3750785156-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_01b30_EVG7mcCupoLAbY5jDyYi6YCA/310x430/1699809562.jpeg?s=f664726eea08699f4d70534f72c0cd122f5415f3,FRANCE,Women
Nike Air Forcé 1,25.0,NIKE,"BLEU, BLANC",40,https://www.vinted.fr/items/3273118351-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_02576_gfmoSXEPRr4sqX4TP59Ruqkw/310x430/1690203769.jpeg?s=b3fca2cb82f215cabb318e5824013da20341005d,ESPAGNE,Women
