Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Chaussure enfant ,25.0,NIKE,ROSE,33,https://www.vinted.fr/items/3832073616-chaussure-enfant?referrer=catalog,https://images1.vinted.net/t/03_0180c_FBrGoDBKDakAMWdPY8GPWRR5/310x430/1701433436.jpeg?s=174971a25a1524faa2b1419cc18f6002324d399f,"PLAISANCE-DU-TOUCH, FRANCE",Kid
Nike air max 1 just do it ,10.0,NIKE,ORANGE,36,https://www.vinted.fr/items/3693125148-nike-air-max-1-just-do-it?referrer=catalog,https://images1.vinted.net/t/02_00f6c_VSvNRDvfwiYTS9CVSy62o4Zk/310x430/1698793696.jpeg?s=d2eb662feb46f184668b397b44ac2b3a3bbbcff6,"MARSEILLE 11, FRANCE",Kid
Nike air max,45.0,NIKE,BLANC,36,https://www.vinted.fr/items/3913807315-nike-air-max?referrer=catalog,https://images1.vinted.net/t/03_003f4_SqSNWmZb52Z863Djzza56iWX/310x430/1703754875.jpeg?s=b4a3c3259770d089b9f4580bf59d9305d26d9a51,"SAINT-HILAIRE-CUSSON-LA-VALMITTE, FRANCE",Kid
Nike Air force 1 ,18.0,NIKE,ROSE,19,https://www.vinted.fr/items/3500918467-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_00ddc_5wkiM1pRygP6SmKtNuphqmYy/310x430/1695274339.jpeg?s=45a31a3c56d7b8f9e670df4a37667294672aea89,"LES MUREAUX, FRANCE",Kid
Nike air max 1 baby maat 21,50.0,NIKE,"BLANC, ROSE",21,https://www.vinted.fr/items/3907682712-nike-air-max-1-baby-maat-21?referrer=catalog,https://images1.vinted.net/t/03_00b88_aytysxWVxa5ZTQ6m3nQWWf1t/310x430/1703535450.jpeg?s=49918f58cc37727b67bf54e593ad7d84d90ce31a,"APELDOORN, PAYS-BAS",Kid
Nike air Max 1,30.0,NIKE,MULTICOLORE,21,https://www.vinted.fr/items/3477620115-nike-air-max-1?referrer=catalog,https://images1.vinted.net/t/03_0099f_yaGxtEwwoj4J6TfNFTwbgcjN/310x430/1694814023.jpeg?s=190f020162c0ebb6f4f3c65d9a1091546017ed80,"ARNHEM, PAYS-BAS",Kid
Air max 19.5 fille,10.0,NIKE,"NOIR, ROSE",19,https://www.vinted.fr/items/3616913226-air-max-195-fille?referrer=catalog,https://images1.vinted.net/t/01_0223a_4dCHcxeJ4i7s3FPumKieD1Fi/310x430/1697448787.jpeg?s=12aa0a9c2da44962f7bfe866bba960d0ba746619,"BOURG-EN-BRESSE, FRANCE",Kid
NIKE Air Max 90 enfant rose scintillant t27 ,35.0,NIKE,ROSE,27,https://www.vinted.fr/items/3898309541-nike-air-max-90-enfant-rose-scintillant-t27?referrer=catalog,https://images1.vinted.net/t/03_0242d_zrZrCV6xhohivBTzMPLyGGFU/310x430/1703069218.jpeg?s=bac46e76553bc62a5de98f2825f765df6c659e74,"TOULOUSE, FRANCE",Kid
Nike Air Max Tuned 1 T27,30.0,NIKE,ORANGE,27,https://www.vinted.fr/items/3910242191-nike-air-max-tuned-1-t27?referrer=catalog,https://images1.vinted.net/t/03_00fbf_gVqEq1pE2dTV272wehPNsTKf/310x430/1703626777.jpeg?s=4b9d5c35179639ae5a6cdc9e336f5e068c448319,"NÉZEL, FRANCE",Kid
Nike Air Max bimba numero 25 rosa e bianche ,25.0,NIKE,"BLANC, ROSE",25,https://www.vinted.fr/items/3873543087-nike-air-max-bimba-numero-25-rosa-e-bianche?referrer=catalog,https://images1.vinted.net/t/02_01a4c_tbUUaULvQmkqHLEncvWLuqiQ/310x430/1702330565.jpeg?s=4b18242d0f3eab9c9648fe91e277e2f4ec2a2e75,ITALIE,Kid
