Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Nike star runner lichtblauw maat 26,5.0,NIKE,BLEU CLAIR,26,https://www.vinted.fr/items/3759104432-nike-star-runner-lichtblauw-maat-26?referrer=catalog,https://images1.vinted.net/t/02_00b26_5A5aoVELMvkRLSBYdg7WNfPx/310x430/1699970268.jpeg?s=24506faf74338aebd2a6da630abee13bd3b14362,"APELDOORN, PAYS-BAS",Kid
Zaalvoetbal schoenen Nike ,6.5,NIKE,"NOIR, GRIS",38,https://www.vinted.fr/items/2341828649-zaalvoetbal-schoenen-nike?referrer=catalog,https://images1.vinted.net/t/02_00e22_WRnTK3cSEmviYQr4qQsp2JEN/310x430/1666535590.jpeg?s=8ec59cfccd68e90197bbd2eaf66c5f77e465146c,"LOENEN, PAYS-BAS",Kid
Nike baby,22.5,NIKE,"ROSE, LILA",17,https://www.vinted.fr/items/3707481548-nike-baby?referrer=catalog,https://images1.vinted.net/t/01_006e0_QGQpVxifh5vJMr2bqGjJX1Bs/310x430/1699051455.jpeg?s=2cd4d839c743f5f4eb0d974ec7f5f456147614fb,PAYS-BAS,Kid
Nike sportschoenen,,"35,00 €",NOIR,Nike,https://www.vinted.fr/items/3886159587-nike-sportschoenen-maat-385?referrer=catalog,https://images1.vinted.net/t/01_0054e_Ekk8Hivzat6LaHhZrduRt8KB/310x430/1702678058.jpeg?s=71b49fbe1e3623fb8230eb372c0113136312e970,"WAALWIJK, PAYS-BAS",Kid
Nike sneakers,20.0,NIKE,"GRIS, ROSE",37,https://www.vinted.fr/items/3587365706-nike-sneakers?referrer=catalog,https://images1.vinted.net/t/02_00727_A4uSWKNUViUh44ASMC54pBzx/310x430/1696879200.jpeg?s=24cb93eb575c365d8c0b92d04909abf2d119e3a6,"ZOTTEGEM, BELGIQUE",Kid
Witte nike airmax maat 21 met klitteband ,10.0,NIKE,BLANC,21,https://www.vinted.fr/items/3653745167-witte-nike-airmax-maat-21-met-klitteband?referrer=catalog,https://images1.vinted.net/t/03_00bc2_P7eFGip177CQ2s2sGqK9UvU1/310x430/1698069634.jpeg?s=74905cd2bbf07cdfd950210350971c8b92a1fe0a,"AMSTERDAM, PAYS-BAS",Kid
Kind er schoenen nog nieuw 15 per stuk,15.0,NIKE,NOIR,15 et moins,https://www.vinted.fr/items/470578374-kind-er-schoenen-nog-nieuw-15-per-stuk?referrer=catalog,https://images1.vinted.net/t/02_01bce_yxBcJbyvRXk6FYDQ7sQMkae7/310x430/1604821353.jpeg?s=08af05f81985a32be3eda84786fb59788c123484,BELGIQUE,Kid
Nike schoenen,5.0,NIKE,"GRIS, ROSE",36,https://www.vinted.fr/items/487316313-nike-schoenen?referrer=catalog,https://images1.vinted.net/t/01_018a6_YouAt8aCBTFRiyKYHPVEwFDD/310x430/1600911345.jpeg?s=8e709f6e12b044eeab180a4eb930f1da7426a0ac,"SINT-OEDENRODE, PAYS-BAS",Kid
Witte Nike schoenen ,60.0,NIKE,BLANC,40,https://www.vinted.fr/items/2888278002-witte-nike-schoenen?referrer=catalog,https://images1.vinted.net/t/03_01129_QPybA29pbFa1JXYi98mHNGo4/310x430/1681152137.jpeg?s=08a9110b0da7c9cf9f17655f9891bd2aacfb5c93,"ASSEN, PAYS-BAS",Kid
Nike schoentjes baby/ maat 17,15.0,NIKE,"BLANC, ROSE",17,https://www.vinted.fr/items/3786014941-nike-schoentjes-baby-maat-17?referrer=catalog,https://images1.vinted.net/t/03_01e53_zfGjpdAvWwBHUcx1z8fcs4Fj/310x430/1700483978.jpeg?s=6491f80d203a4f9862547ac6f7b36b0284508df5,"'S-GRAVENHAGE, PAYS-BAS",Kid
