Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
Blazers Nike ,20.0,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3878263149-blazers-nike?referrer=catalog,https://images1.vinted.net/t/03_001c6_utpaA4YbUy6KkXTbKXMwiQrg/310x430/1702469438.jpeg?s=a1d7704567bcf37acea346914697f78ec193ea2d,"VILLANCE, BELGIQUE",Kid
Nike blazer ,20.0,NIKE,NOIR,36,https://www.vinted.fr/items/3880707047-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_002a7_X85M14vqmjfiehFH3UtdU7Cp/310x430/1702533665.jpeg?s=20fecaef707f565b4d3c6d3d0774f6109ae531b6,"PONTE DI PIAVE, ITALIE",Kid
Nike blazer mid ,15.0,NIKE,"NOIR, BLANC",17,https://www.vinted.fr/items/3852709756-nike-blazer-mid?referrer=catalog,https://images1.vinted.net/t/02_00bcb_2HRTg4XksjnojodDFq9nQxec/310x430/1701880086.jpeg?s=2114b89af87af1a914e45869c1b7fe46256aef09,FRANCE,Kid
Blazer nike ,15.0,NIKE,BLANC,17,https://www.vinted.fr/items/3771783498-blazer-nike?referrer=catalog,https://images1.vinted.net/t/01_01432_fyAjFAMb4U5y2rmYE6wJjYbF/310x430/1700231412.jpeg?s=7e4ee54ed073f05de7dde24c15204b98cd198d24,FRANCE,Kid
Veste chaude fille nike 4 ans ,2.0,NIKE,BEIGE,4 ans / 104 cm,https://www.vinted.fr/items/3709073037-veste-chaude-fille-nike-4-ans?referrer=catalog,https://images1.vinted.net/t/01_01b71_ZkUEQPi9ffbPy9GQqYL6p8AL/310x430/1699098863.jpeg?s=636e5433d100dae4c00569b93779be227858b781,"MOURMELON-LE-GRAND, FRANCE",Kid
Nike blazer ,10.0,NIKE,BLANC,23,https://www.vinted.fr/items/3858589067-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_004b2_xx1ZTyZPB3weGRctrrJdJg3H/310x430/1702036378.jpeg?s=5acd8f007f557347b6203d0d3116f2d310fca9b0,"HOLTZHEIM, FRANCE",Kid
Blazer bébé ,8.0,NIKE,BLANC,22,https://www.vinted.fr/items/3799100590-blazer-bebe?referrer=catalog,https://images1.vinted.net/t/03_007ce_7J4TrsaXUwad2yqH5UGkb8aR/310x430/1700746104.jpeg?s=e71dca027451168828dcc22d9d2c9948e3c6a2cf,"FONTENAY, FRANCE",Kid
Nike blazer ,14.0,NIKE,"NOIR, ROUGE",32,https://www.vinted.fr/items/3356601812-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00d98_7oYwpAd1xVhzvj3hRB3tZyZ7/310x430/1692183759.jpeg?s=19cabc5ed39ba1a8edb507bafb3f0f3a8e968467,"VALENCIENNES, FRANCE",Kid
Nike Blazer 28,20.0,NIKE,"NOIR, BLANC",28,https://www.vinted.fr/items/3878742275-nike-blazer-28?referrer=catalog,https://images1.vinted.net/t/02_02128_PrbjWWkvATaQFdqbqpvg2coV/310x430/1702476366.jpeg?s=d013f65411511bbe6412567feab9aed7925f54ff,"HEPPEN, BELGIQUE",Kid
Nike blazer ,10.0,NIKE,"BLANC, ROSE",20,https://www.vinted.fr/items/3710184188-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01b80_eZatXfa18M1i1Z4FCd2aWNDm/310x430/1699107598.jpeg?s=dd56d75d2a33a99f974fe0c2d2e0fec9b5f21cd6,"TOULOUSE, FRANCE",Kid
Basket blazer scratch Nike taille 20,25.0,NIKE,"NOIR, BLANC",20,https://www.vinted.fr/items/3851228775-basket-blazer-scratch-nike-taille-20?referrer=catalog,https://images1.vinted.net/t/02_0249f_LGssG5QWEf74omGPSqwgAHbx/310x430/1701860066.jpeg?s=4b3213733a934a8467b1def32ffb3fd94da19c54,"FERRIÈRES-EN-BRIE, FRANCE",Kid
Nike Blazers Enfant,15.0,NIKE,"GRIS, BLANC",23,https://www.vinted.fr/items/3847205623-nike-blazers-enfant?referrer=catalog,https://images1.vinted.net/t/02_0134a_t2DGcGDRqNPPiYLHoKBerMT4/310x430/1701765918.jpeg?s=53c6a6e264e32da4211d8883472e68a944bff18b,"ROQUES, FRANCE",Kid
Basket blazer nike ,8.0,NIKE,BLEU,21,https://www.vinted.fr/items/3592478035-basket-blazer-nike?referrer=catalog,https://images1.vinted.net/t/01_001a4_JgvSP8JVqFafnpXrd2Dasm8r/310x430/1697009385.jpeg?s=bd0513e7b2a3de5387bdf1d310b7cf3ce71e9489,"HAGUENAU, FRANCE",Kid
nike blazer mid,15.0,NIKE,"BLANC, VERT",17,https://www.vinted.fr/items/3879910565-nike-blazer-mid?referrer=catalog,https://images1.vinted.net/t/03_0258c_UvpEKWFqLxJs5wGqPXMifbBr/310x430/1702494455.jpeg?s=271aa3696a16df0f96fb8890245d9c560e8c09fe,"DORDRECHT, PAYS-BAS",Kid
Sneakers Nike Blazer,30.0,NIKE,BLANC,26,https://www.vinted.fr/items/3878058082-sneakers-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00a4c_83R7tH7BaxKBQfrYLh3E8vZo/310x430/1702466214.jpeg?s=dfe849bf3eb99b9eb8c43b056555aa9f34eea181,"CONEGLIANO, ITALIE",Kid
Nike blazer mid pointure 36.5 ,49.0,NIKE,"BLANC, MULTICOLORE",36,https://www.vinted.fr/items/3876815026-nike-blazer-mid-pointure-365,https://images1.vinted.net/t/03_012b8_1NU3QnMZF9bZ588cfGXfFYAD/310x430/1702413236.jpeg?s=8e1f194605bd50ad8b10f7ec0264f5d13b30e0b6,FRANCE,Kid
Basket Nike,8.0,NIKE,"NOIR, BLANC",19,https://www.vinted.fr/items/3350423132-basket-nike?referrer=catalog,https://images1.vinted.net/t/01_01752_mF8FCktST5YEEc2xQ7vFgTZX/310x430/1692027285.jpeg?s=bd9a1106ff7bf19946bcd37b6ca6a8c191179019,FRANCE,Kid
Nike blazer ,20.0,NIKE,"NOIR, BLANC",21,https://www.vinted.fr/items/3626176014-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00ace_yGL3syagMCodZthQSzqP8EnH/310x430/1697618839.jpeg?s=5071a6e6dc3ac564364b6b6ffcbe180e1627436a,"MARSEILLE 12, FRANCE",Kid
Blazer nike,20.0,NIKE,MULTICOLORE,31,https://www.vinted.fr/items/3772309522-blazer-nike?referrer=catalog,https://images1.vinted.net/t/03_01044_27EYpKBTxK5CcxL4sBzZRK1N/310x430/1700238502.jpeg?s=3d0b76d389a49026c84ba352b35fb246bc9b090f,"MONTCEAUX-LÈS-VAUDES, FRANCE",Kid
Nike blazer low ,25.0,NIKE,BLANC,21,https://www.vinted.fr/items/3833437705-nike-blazer-low?referrer=catalog,https://images1.vinted.net/t/02_01abc_ZAWx3KTkh8FjApdyMhFGivdR/310x430/1701454188.jpeg?s=d70a9dfdff9b36d338b73eec82e1f06315effe89,"CARRIÈRES-SOUS-POISSY, FRANCE",Kid
"Baskets bébé Nike Blazer Mid 17,5",20.0,NIKE,"BEIGE, BLANC",17,https://www.vinted.fr/items/3309832796-baskets-bebe-nike-blazer-mid-175?referrer=catalog,https://images1.vinted.net/t/03_01ff1_B3LGrGawTRQRMS73PEPCXzh9/310x430/1691074962.jpeg?s=1525394647d6b224a7249c67518823ffb2d15d92,"CANNES, FRANCE",Kid
nike blazer,10.0,NIKE,"BLEU, VERT",36,https://www.vinted.fr/items/2914818817-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_01615_sc9hupW3AhefaMWNUBuxpxwq/310x430/1681737361.jpeg?s=091aa45eae28952a6dba33f316a64e9efe6aa669,"BRINDISI, ITALIE",Kid
Veste Nike 12-18mois,2.0,NIKE,BLEU,12-18 mois / 80 cm,https://www.vinted.fr/items/3785072417-veste-nike-12-18mois?referrer=catalog,https://images1.vinted.net/t/03_00566_yUZkgFRSzk2V8KZMmsKA5qod/310x430/1700472733.jpeg?s=d16640532b467bb608e8e9eefe02bc6ea9504310,FRANCE,Kid
nike blazer ,5.0,NIKE,"GRIS, BLANC",36,https://www.vinted.fr/items/2720135305-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_00b62_pNYBvjnvWoPvuWWyCFKHNesZ/310x430/1677153664.jpeg?s=d53a5887f83f8e3560ec8f5ec1ae75b49ac30647,FRANCE,Kid
Blazer Nike ,15.0,NIKE,BLANC,22,https://www.vinted.fr/items/3326872978-blazer-nike?referrer=catalog,https://images1.vinted.net/t/02_001fd_szZRD5oLmqqZGhYTopcgfnJA/310x430/1691477179.jpeg?s=9413cee7b948662a7d72f45d6c4cdfb22e459a2d,"BULLY-LES-MINES, FRANCE",Kid
Chaussures Nike blazers enfant,15.0,NIKE,BLANC,37,https://www.vinted.fr/items/3696671109-chaussures-nike-blazers-enfant?referrer=catalog,https://images1.vinted.net/t/01_003a7_ZYdkpubFPCv2dgX6GRsrBnYQ/310x430/1698856579.jpeg?s=6f669c0953cd16ad0309343c756764643c1a09cd,"MONTPELLIER, FRANCE",Kid
Nike Blazer Mid 26,12.0,NIKE,"GRIS, BLANC",26,https://www.vinted.fr/items/3869716420-nike-blazer-mid-26?referrer=catalog,https://images1.vinted.net/t/03_006c8_XcZQpBUDdsQ9RkHxXnWvjueH/310x430/1702243630.jpeg?s=0217f55fb20366a88a1da2e24ede0fbe24d3f9bf,FRANCE,Kid
Nike Blazer Mid’77,20.0,NIKE,BLANC,25,https://www.vinted.fr/items/3625072475-nike-blazer-mid77?referrer=catalog,https://images1.vinted.net/t/03_01c9a_2oDi848ModPAZyUMYMav4zBE/310x430/1697571928.jpeg?s=78dd5d0aa1680b66f56e32a029a483b2d9a597de,FRANCE,Kid
Nike blazer,5.0,NIKE,NOIR,21,https://www.vinted.fr/items/3414036077-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00c76_SdjoBUx38knaN2pT2juoK4m1/310x430/1693422881.jpeg?s=bfa132914de633033924100cd2518d559f972425,"BONCHAMP-LÈS-LAVAL, FRANCE",Kid
Nike Blazer ,20.0,NIKE,BLANC,21,https://www.vinted.fr/items/3764712567-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_01c21_CgpijUmfe79jpdv9QJyAEFh2/310x430/1700071377.jpeg?s=b4645c716602f92ef0fa8e696395223b6c613cec,"DOUVRES-LA-DÉLIVRANDE, FRANCE",Kid
Teddy Nike doublé ,8.0,NIKE,MARINE,L,https://www.vinted.fr/items/3828694290-teddy-nike-double?referrer=catalog,https://images1.vinted.net/t/01_0125d_v9XFMGonviZA5yuKo5PxjWUT/310x430/1701349378.jpeg?s=eef8893b788a772559f13d1d1fc8a95caf8879cb,FRANCE,Kid
Chaussure enfant blazer nike ,20.0,NIKE,BLANC,22,https://www.vinted.fr/items/3478408565-chaussure-enfant-blazer-nike?referrer=catalog,https://images1.vinted.net/t/01_01c8e_NeZSY9i2ujfg1iPvvoxmBvhF/310x430/1694856129.jpeg?s=3a85e7a360677ec3cb1b3c771858718d6ca2d8d8,"SURESNES, FRANCE",Kid
