Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
👟 Basket Nike Air Force 1 ,,"15,00 €","BEIGE, ROSE",Nike,https://www.vinted.fr/items/3862369041-basket-nike-air-force-1-beige-et-rose-poudre-25?referrer=catalog,https://images1.vinted.net/t/03_01cbb_sHsiCHCnZNX3ngbZQGRe7nSs/310x430/1702125895.jpeg?s=039791d5c1a040014dfb17ab792bfcf93092ef7c,FRANCE,Kid
Nike Air Force1,12.5,NIKE,"BLANC, ROUGE",23,https://www.vinted.fr/items/3864125178-nike-air-force1?referrer=catalog,https://images1.vinted.net/t/03_01ee1_sVVyT99ZkDVTBQHqyDfgnaxY/310x430/1702146912.jpeg?s=c5454faf229f8a9a913ba2807f60070e16585b73,"FERRAGUDA, PORTUGAL",Kid
Air force 1,20.0,NIKE,BLANC,36,https://www.vinted.fr/items/3835093247-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_01bc7_G3QkUbsvToa2EGcfuS1QPCjv/310x430/1701514680.jpeg?s=41c6b96e5f4dc1c08ddeff2d9712455f048db7c9,"SEYSSES, FRANCE",Kid
Basket air force 1,15.0,NIKE,BLANC,25,https://www.vinted.fr/items/3872832062-basket-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_0215f_itB5xGbjRmuvQtWce2hfHfTE/310x430/1702320338.jpeg?s=42f625d2e7628c1c20b6b20f605e61137fcbe32e,FRANCE,Kid
Nike air force 1 fille ,35.0,NIKE,"VIOLET, LILA",25,https://www.vinted.fr/items/3843813136-nike-air-force-1-fille?referrer=catalog,https://images1.vinted.net/t/02_019f7_Ju1WCDQR8RXB41Po7tPYtuan/310x430/1701686399.jpeg?s=c75022ffda63cbfd924c55c051abd76c7aa98752,"MOISSAC, FRANCE",Kid
Air force bébé,5.0,NIKE,BLANC,1-3 mois / 56 cm,https://www.vinted.fr/items/3649411494-air-force-bebe?referrer=catalog,https://images1.vinted.net/t/03_026e1_1gfWBBDD3nhxmfthP6b6ApkR/310x430/1697992508.jpeg?s=f3461194f7b73586084d1214122b33ccf1dce9dd,"NORMANVILLE, FRANCE",Kid
Nike Air Force 1 in velluto viola ,15.0,NIKE,VIOLET,40,https://www.vinted.fr/items/3839846976-nike-air-force-1-in-velluto-viola?referrer=catalog,https://images1.vinted.net/t/03_00201_4eVdySpZ1hQLhTb99C3pshaA/310x430/1701608407.jpeg?s=8c222faad714b7b65a480de305f8795731abcc34,"BUSTO ARSIZIO, ITALIE",Kid
Air force 1 bébé ,8.0,NIKE,"NOIR, BLANC",25,https://www.vinted.fr/items/3566841192-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/02_0071d_U5d4jN8Ex3qyPvyhK7bmNzkz/310x430/1696519160.jpeg?s=59abdc2ef15f56ed46fdc006801834d0d96406ab,"CAPPELLE-LA-GRANDE, FRANCE",Kid
"Nike air force 1 P29,5 ",60.0,NIKE,MARRON,30,https://www.vinted.fr/items/3833961130-nike-air-force-1-p295?referrer=catalog,https://images1.vinted.net/t/02_0222e_d6FFLLECapngWjDouVsUAFoh/310x430/1701464221.jpeg?s=2d23fe377c0661fadc85686d45bf0711c3309f39,FRANCE,Kid
Nike air force 1 bébé ,30.0,NIKE,"BLANC, BLEU",22,https://www.vinted.fr/items/3855194780-nike-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/02_015ef_RHxNHBT3Hzsm2TgdUr1T9cWd/310x430/1701950842.jpeg?s=15ba1f78cee43c434ccf224bef883336d1d77e2a,"COMMUNAY, FRANCE",Kid
Air force 1 ,25.0,NIKE,NOIR,39,https://www.vinted.fr/items/3867972904-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_00b0c_2QgJeoHNeKiPAqEN24jZ76a7/310x430/1702224432.jpeg?s=fa0be4ad54675c6f0098e37e6a24efb5cc23125a,"LES ANDELYS, FRANCE",Kid
Nike Air Force 1 beetle baby 27,25.0,NIKE,"BLANC, ROUGE",27,https://www.vinted.fr/items/3887091370-nike-air-force-1-beetle-baby-27?referrer=catalog,https://images1.vinted.net/t/01_02171_5RG1167BfQ5PCURFQLJYNsrm/310x430/1702727030.jpeg?s=ff1d9d17eecd73019c6f4479d48b5f04270cea6b,"AMSTERDAM, PAYS-BAS",Kid
Air Force 1 ragazza n 36,15.0,NIKE,"BLANC, ROSE",36,https://www.vinted.fr/items/3880694158-air-force-1-ragazza-n-36?referrer=catalog,https://images1.vinted.net/t/02_018b9_rkfypvPDLbna9CEocFaDyzqH/310x430/1702531353.jpeg?s=0291dad4c9fe5ab9b05c4a4004a4f202bf5c8f36,"CERNUSCO SUL NAVIGLIO, ITALIE",Kid
Nike air force blanc Lila ,13.0,NIKE,"BLANC, LILA",18,https://www.vinted.fr/items/3876406813-nike-air-force-blanc-lila?referrer=catalog,https://images1.vinted.net/t/01_01c67_FLPCF8oMWohbfNpGsJsbg3uH/310x430/1702406438.jpeg?s=b72f5e58596e0aea85dcc3b88fe1d5f6dbfbecc1,FRANCE,Kid
Nike Air force 1,8.99,NIKE,GRIS,38,https://www.vinted.fr/items/3659438394-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01f7b_EVtGcS517dnFrbMxfwF6yAh7/310x430/1698163215.jpeg?s=6de64ba565ca5f6e9cae453b3385104c26519c9e,"AURELIA DI CIVITAVECCHIA, ITALIE",Kid
