Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
16,Nike Dunk Low. 36,25.0,NIKE,"BLANC, BLEU",36,https://www.vinted.fr/items/3890049118-nike-dunk-low-36?referrer=catalog,https://images1.vinted.net/t/02_005f7_rv83bmKAptRC3zTG1N8jxBXa/310x430/1702813610.jpeg?s=0e5359ed8cc7a727c154d61bd61c835bd46dd4f4,ESPAGNE,Kid
17,Basket Nike ,33.0,NIKE,NOIR,26,https://www.vinted.fr/items/3873155468-basket-nike?referrer=catalog,https://images1.vinted.net/t/03_009b2_gVhWhiqLD8i5jszYJqHH9L2z/310x430/1702324764.jpeg?s=1bb06e389bf406285b33660b5adb44ec425b5c22,"NOYON, FRANCE",Kid
18,Nike dunk bambino/a,10.0,NIKE,"NOIR, BLANC",28,https://www.vinted.fr/items/3884037167-nike-dunk-bambinoa?referrer=catalog,https://images1.vinted.net/t/02_00e82_hYs9ZuocyqrxVyPCnJpV1a7z/310x430/1702633357.jpeg?s=81510eb76631a6f7cead237ff0cea6ff849c167b,"TORINO, ITALIE",Kid
19,Nike Dunk 26,33.0,NIKE,"NOIR, ROUGE",26,https://www.vinted.fr/items/3892023676-nike-dunk-26?referrer=catalog,https://images1.vinted.net/t/02_02031_BBFS3GAh9yKG5etKbRXZVaV5/310x430/1702840364.jpeg?s=0b94c0d936972fe92b9e2efa3f1fc57c3c601e1f,"SAUGNAC-ET-CAMBRAN, FRANCE",Kid
20,Nike dunk low Triple pink 38,52.36,NIKE,ROSE,38,https://www.vinted.fr/items/3883756868-nike-dunk-low-triple-pink-38?referrer=catalog,https://images1.vinted.net/t/01_00316_DaJ3S5boUNv1my62sAkDvMNM/310x430/1702624393.jpeg?s=272867c1994fd1f94cde7f6388d751ebefdb49b7,"CAUSSADE-RIVIÈRE, FRANCE",Kid
21,Nike Dunk Low White Black 36,43.99,NIKE,"NOIR, BLANC",36,https://www.vinted.fr/items/3891999908-nike-dunk-low-white-black-36?referrer=catalog,https://images1.vinted.net/t/03_006e5_YnFh7ypVGJPcyCAqPsVyyAYL/310x430/1702839971.jpeg?s=ed2fe332fd610bc9594a4ad098ba1b6f65233e41,"CARPENTRAS, FRANCE",Kid
22,🎅🌹Nike Dunk Orange Syracuse Low EU 39,59.9,NIKE,ORANGE,39,https://www.vinted.fr/items/3892048788-nike-dunk-orange-syracuse-low-eu-39?referrer=catalog,https://images1.vinted.net/t/02_00ef0_wjamugMRt8K3dhppPToGemCr/310x430/1702840781.jpeg?s=2e36f9d25c9ce140c180ce93037800b0c356e36f,"MONTAUBAN, FRANCE",Kid
23,🎅🌹Nike Dunk Orange Syracuse Low EU 39,59.9,NIKE,ORANGE,39,https://www.vinted.fr/items/3892048530-nike-dunk-orange-syracuse-low-eu-39?referrer=catalog,https://images1.vinted.net/t/03_0203f_kCDMSqPu7eHXsjxqXGW5v87V/310x430/1702840777.jpeg?s=2bce8345ac8037a56b50519ab756dee708426e27,"MONTAUBAN, FRANCE",Kid
24,Nike Dunk Low Gris 36  ,43.99,NIKE,"GRIS, BLANC",36,https://www.vinted.fr/items/3892005266-nike-dunk-low-gris-36?referrer=catalog,https://images1.vinted.net/t/02_01c43_XrJY4PSXUktdvjyPRSJiZDbd/310x430/1702840059.jpeg?s=941891189889f9fd11016c64a0143be20c6f285c,"CARPENTRAS, FRANCE",Kid
25,Nìké Dǔnk🎄Lów🎄White🔥Grey 38,40.5,NIKE,"GRIS, BLANC",38,https://www.vinted.fr/items/3890621455-nike-dunklowwhitegrey-38?referrer=catalog,https://images1.vinted.net/t/02_016de_STSay4HEYsvUvTphPBorij38/310x430/1702820889.jpeg?s=370d74919d5f49e9ff918833e1ef688adcc951cc,FRANCE,Kid
26,Nike Dunk Black Low White Panda EU 40,55.0,NIKE,NOIR,40,https://www.vinted.fr/items/3891965174-nike-dunk-black-low-white-panda-eu-40?referrer=catalog,https://images1.vinted.net/t/01_02276_kzPtCiBn1ZhZqn2W5gKAJZM2/310x430/1702839403.jpeg?s=b3559c534e2767930e6f49b5cdcbb5bd28339c08,"AJACCIO, FRANCE",Kid
27,Dunk enfant,43.0,NIKE,"BLANC, ROSE",22,https://www.vinted.fr/items/3875455602-dunk-enfant?referrer=catalog,https://images1.vinted.net/t/03_0193b_q885PRfPDGWix2ezK9FxRRMU/310x430/1702391574.jpeg?s=cce262a275701e6875c389bb5b10a5a414d33e73,"STAINS, FRANCE",Kid
28,Nike dunk état neuf ,40.0,NIKE,"BLANC, ORANGE",31,https://www.vinted.fr/items/3883152622-nike-dunk-etat-neuf?referrer=catalog,https://images1.vinted.net/t/01_01d5e_ErYLpSuJkBGtVPbP5oGYf85e/310x430/1702583838.jpeg?s=af8242c1a11722b4e92aebd57bd288fb58f81270,"SAINTE-MARIE, FRANCE",Kid
29,Nike dunk low panda’s maat 30 ,50.0,NIKE,"NOIR, BLANC",30,https://www.vinted.fr/items/3880818486-nike-dunk-low-pandas-maat-30?referrer=catalog,https://images1.vinted.net/t/03_019c5_XGPpsQ8SfTujjxzcLRrqUNGK/310x430/1702541036.jpeg?s=809b1b369e091968134ecb147f84988aea8218a9,"ZOETERMEER, PAYS-BAS",Kid
30,Basket dunk enfant ,15.0,NIKE,"NOIR, BLANC",25,https://www.vinted.fr/items/3878637963-basket-dunk-enfant?referrer=catalog,https://images1.vinted.net/t/02_010b8_KjqqR5peATYiD6WSdwc3LhN6/310x430/1702474919.jpeg?s=eec00d22f3c96418275bfce8fe5782af399286d0,"GRASSE, FRANCE",Kid
31,Lot de 2 paires de Nike dunk law panda ,35.0,NIKE,"NOIR, ORANGE",30,https://www.vinted.fr/items/3881499570-lot-de-2-paires-de-nike-dunk-law-panda?referrer=catalog,https://images1.vinted.net/t/02_0196d_M7qNMYXiUqefgFrwASs3XsNt/310x430/1702554738.jpeg?s=98f361d593b6ebeda45e61bc90366aa88e2d520f,FRANCE,Kid
32,Nike dunk,9.0,NIKE,"NOIR, BLANC",24,https://www.vinted.fr/items/3798792190-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_01adb_QX91JnAe3KSL3HX3nVtVeAmH/310x430/1700742235.jpeg?s=984e4704ffd3921d59fdf97a7fdfca1456a3b705,"ÉPINAY-SUR-SEINE, FRANCE",Kid
33,"Nike dunk low veneer (td)(18,5)",115.0,NIKE,,18,https://www.vinted.fr/items/3703025412-nike-dunk-low-veneer-td185,https://images1.vinted.net/t/01_01116_EZeoMu7ycydWLeCvM3K53dtJ/310x430/1698962104.jpeg?s=bba18666e5dc8946b7a9afe485bfc0fd812db2ac,,Kid
34,Nike Dunk 👟Low 👟Black And White Panda 38,41.2,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3882252502-nike-dunk-low-black-and-white-panda-38?referrer=catalog,https://images1.vinted.net/t/02_013ea_H59tW1Mzj8XxFHdM8ifYYBtk/310x430/1702567130.jpeg?s=177701ae959e916f0cc661e2fbe3c73df6f4c66b,PAYS-BAS,Kid
35,Nike dunk,70.0,NIKE,"BLANC, BLEU",34,https://www.vinted.fr/items/3890512461-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_01ca9_fhUx6We9LPFndStw6sNp4JZW/310x430/1702819523.jpeg?s=6a7206571cc38fb8484a90f2484ba6ee5c154a50,FRANCE,Kid
36,Nike dunk,40.0,NIKE,"ROSE, ROSE",34,https://www.vinted.fr/items/3880863809-nike-dunk?referrer=catalog,https://images1.vinted.net/t/03_021ee_W7fSnYHbg3q9onZRmDgQjHZP/310x430/1702542545.jpeg?s=e3a93147a38a15c6813619d54c37b03f7f9d5377,"CERIGNOLA, ITALIE",Kid
37,Nike Dunk Black Low White Panda EU 36,55.0,NIKE,NOIR,36,https://www.vinted.fr/items/3891968694-nike-dunk-black-low-white-panda-eu-36?referrer=catalog,https://images1.vinted.net/t/03_00bbc_pNYDRBFi475WfxpwXr4gMHRp/310x430/1702839461.jpeg?s=5dc6c122b24c14c6d0aa54779743e94b1a4545e6,"AJACCIO, FRANCE",Kid
38,Nìké Dǔnk🎄Lów🎄Black and white Panda 38,39.99,NIKE,"NOIR, BLANC",38,https://www.vinted.fr/items/3890524974-nike-dunklowblack-and-white-panda-38?referrer=catalog,https://images1.vinted.net/t/03_01b28_WwCA8FsbXNFkfKQXigmWSfEa/310x430/1702819681.jpeg?s=dcda7fa723831122d913bef566eccacd7a7ad51a,"MARSEILLE, FRANCE",Kid
39,"Nike dunk hoog maat 35,5",37.5,NIKE,"BLANC, VERT",35,https://www.vinted.fr/items/3878250770-nike-dunk-hoog-maat-355?referrer=catalog,https://images1.vinted.net/t/02_0088b_7FWPc5x94n8xyNuFhEuMH2fV/310x430/1702469239.jpeg?s=621dee8472ce7b9ee27793c1f7d4b5d1b09761c2,"ALMERE, PAYS-BAS",Kid
40,Basket Nike dunk low bébé ,15.0,NIKE,GRIS,18,https://www.vinted.fr/items/3861699842-basket-nike-dunk-low-bebe?referrer=catalog,https://images1.vinted.net/t/01_01e46_1uXRm3Hog5Na3Ks7wVxbNbHD/310x430/1702118152.jpeg?s=135cd37723325564177f562466e1e468fb555fe7,FRANCE,Kid
41,🎅🌹Nike Dunk Orange Syracuse Low EU 40,59.9,NIKE,ORANGE,40,https://www.vinted.fr/items/3892048880-nike-dunk-orange-syracuse-low-eu-40?referrer=catalog,https://images1.vinted.net/t/03_01b1d_rH2ctMET9fSJ7ac4CtaF1BbD/310x430/1702840783.jpeg?s=e93a7fe871bbefc6bfc2c7a4802162a3ccc38ad8,"MONTAUBAN, FRANCE",Kid
42,🎅🌹Nike Dunk Orange Syracuse Low EU 40,59.9,NIKE,ORANGE,40,https://www.vinted.fr/items/3892048589-nike-dunk-orange-syracuse-low-eu-40?referrer=catalog,https://images1.vinted.net/t/03_015ec_cXNxRxdXah7iJTKs67pyDf7E/310x430/1702840778.jpeg?s=aff71cb98b9698c897493b2560dd839f789d557a,"MONTAUBAN, FRANCE",Kid
43,Dunk Nike,40.0,NIKE,GRIS,34,https://www.vinted.fr/items/3890851027-dunk-nike?referrer=catalog,https://images1.vinted.net/t/01_00e3a_v93MTtfib59FYY9az4uD9kNZ/310x430/1702823743.jpeg?s=4f6b7ebe6e13071ece15ff1ea040ee6972c1112b,FRANCE,Kid
44,dunk prix négociable ,35.0,NIKE,"NOIR, ORANGE",35,https://www.vinted.fr/items/3879527390-dunk-prix-negociable?referrer=catalog,https://images1.vinted.net/t/03_00b63_S9VTuGRCsdWp1dhLdX1N3s7L/310x430/1702488131.jpeg?s=a94f3669e0d05e749dabfb9bb786d17b85b2b655,FRANCE,Kid
45,  Nike Dunk 40,38.0,NIKE,GRIS,40,https://www.vinted.fr/items/3875196186-nike-dunk-40?referrer=catalog,https://images1.vinted.net/t/03_01123_Z36qu3uM626Xt3CmxwaYeg7u/310x430/1702387885.jpeg?s=194a00cf33454fe85ee4d63435a3f5c920a81f36,"BOUSES, ESPAGNE",Kid
