Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
519,Nike dunk low ,55.0,NIKE,"ORANGE, VERT",40,https://www.vinted.fr/items/3887415291-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_01720_R1REXF5ALkYbgvSWiSA3zSph/310x430/1702732047.jpeg?s=bf96735458ac8150aef6695f518ffcde89a1e375,"PARIS, FRANCE",Women
520,Basket Nike Dunk Low,70.0,NIKE,"NOIR, GRIS",40,https://www.vinted.fr/items/3887099340-basket-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_01617_nauKVejBFVPKXnN6bVh7mCbN/310x430/1702727155.jpeg?s=77b0e20441ab6fdfb6e60e02155a4b71064297fb,"CRÉTEIL, FRANCE",Women
521,Nike dunk high,110.0,NIKE,"BLANC, LILA",36,https://www.vinted.fr/items/3886849857-nike-dunk-high?referrer=catalog,https://images1.vinted.net/t/03_02015_8QsMkyM49dw1YkC3sksdk8f5/310x430/1702723275.jpeg?s=36c54d8a93139cc9216be19731ac88c6d5ace76d,FRANCE,Women
522,Dunk Syracuse 37.5,52.8,NIKE,ORANGE,37.5,https://www.vinted.fr/items/3887562302-dunk-syracuse-375?referrer=catalog,https://images1.vinted.net/t/02_00d88_KAnD7vCw2YZGWJTHyXzEEZEs/310x430/1702734202.jpeg?s=23bb26c2edd121a7d3799eae76a4276bd5550f9c,"PARIS, FRANCE",Women
523,Basket Nike très propre,50.0,NIKE,"GRIS, KAKI",38.5,https://www.vinted.fr/items/3888748166-basket-nike-tres-propre?referrer=catalog,https://images1.vinted.net/t/02_01d22_veLaHSk8wHkMRcTfwy6m926s/310x430/1702755842.jpeg?s=1b204e20bdaa8ebadafe5a6fc8e5f2064d94ab1f,"LA LOUVIÈRE, BELGIQUE",Women
524,Dunk low,95.0,NIKE,"BLANC, BLEU",38,https://www.vinted.fr/items/3884820631-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_015b9_VShTpMHJax74KcHwXHnobwx8/310x430/1702647826.jpeg?s=c021a5a29383c2eec950b7d85c0da76651c9ae32,FRANCE,Women
525,dunk low bleu nike 38,45.0,NIKE,BLEU,38,https://www.vinted.fr/items/3888194206-dunk-low-bleu-nike-38?referrer=catalog,https://images1.vinted.net/t/03_01006_gDsMroNsyEfkWZXdGajxJteY/310x430/1702744228.jpeg?s=46a0e1bd03f998559eecbc2367a1600aa6323581,"NANTES, FRANCE",Women
526,Nike dunk low ,70.0,NIKE,VERT,38,https://www.vinted.fr/items/3887193347-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/03_0138e_KYFginXcdyfhEnrD5zbkYtP8/310x430/1702728645.jpeg?s=70e0a1cf6ccf3e5c7121b92ce606351c0bb15041,"VILLEURBANNE, FRANCE",Women
527,Nḭkḛ Dūnk Lów Valerian Blue EU 37.5,58.58,NIKE,"BLANC, BLEU",37.5,https://www.vinted.fr/items/3888440594-nike-dunk-low-valerian-blue-eu-375?referrer=catalog,https://images1.vinted.net/t/02_01617_wesTUEsts6LaSo2eNzCha6Nb/310x430/1702749045.jpeg?s=14e2760bafce84a8e924abc3ba7f6cf6bae1ca42,"MADRID, ESPAGNE",Women
528,Nike dunk low,100.0,NIKE,ORANGE,38.5,https://www.vinted.fr/items/3866431121-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_02637_zUX4nRKKzyrWZM3SR6kzjQvS/310x430/1702210706.jpeg?s=251656f9e7b173a1660e1ac64e0c98e2d234e61f,"MARSEILLE 01, FRANCE",Women
529,Nike dunk Sky ,35.0,NIKE,"GRIS, BEIGE",37.5,https://www.vinted.fr/items/3886530187-nike-dunk-sky?referrer=catalog,https://images1.vinted.net/t/02_024be_Kkn8d6mi7PguGXeLCCL2H5bZ/310x430/1702717247.jpeg?s=9b6aff8adc84b0be7abd02fd412937e18f30f03e,FRANCE,Women
