Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
nike blazer vintage,25.0,NIKE,VERT FONCÉ,"42,5",https://www.vinted.fr/items/3880610290-nike-blazer-vintage?referrer=catalog,https://images1.vinted.net/t/02_01279_26YpkCSXSp5YBzBFJD3CLFYU/310x430/1702510134.jpeg?s=c794778beaabe2a3817cecbc2e803c4913f57635,"BELLA, ITALIE",Men
Nike blazer ,25.0,NIKE,NOIR,38,https://www.vinted.fr/items/3872154435-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_01816_TCnjgbjqUTcKVhK1oNsL6vgp/310x430/1702310644.jpeg?s=efa539962dc9175d658a2863f85203331477a08e,FRANCE,Men
Nike blazer,20.0,NIKE,BLEU,42,https://www.vinted.fr/items/3655316084-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00544_fypFtBZRVFHAhx1zxTSDF7AC/310x430/1698084611.jpeg?s=6ef226ac7996d7e53d6a3af053d3ee6c307facbf,"PARIS, FRANCE",Men
Nike Blazer,12.0,NIKE,GRIS,40,https://www.vinted.fr/items/3803937088-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_01fbf_iirEPTr3RcTS3FfaXMi3qFpD/310x430/1700846703.jpeg?s=ba067eaa23d9188941d521d5ffcc236e500a3a51,"SAN GIOVANNI INCARICO, ITALIE",Men
Nike blazer,12.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3702962467-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_022dd_iZsEi7icnPdHXFm5hbnbai78/310x430/1698960817.jpeg?s=30b3416858c62433362d8a2368a49f3dc0b5cc67,"MONTERIGGIONI, ITALIE",Men
Nike blazers homme,15.0,NIKE,BLANC,44,https://www.vinted.fr/items/3879688369-nike-blazers-homme?referrer=catalog,https://images1.vinted.net/t/02_02022_FRyxBTVTv9xx6EEpFe11L8eG/310x430/1702490723.jpeg?s=b9454f51c5ba50041bcb160ebef1967d6d8fe351,"REIMS, FRANCE",Men
Zapatillas Nike Blazer ,27.5,NIKE,"BLANC, BEIGE",43,https://www.vinted.fr/items/3876075755-zapatillas-nike-blazer?referrer=catalog,https://images1.vinted.net/t/03_02011_GmYkox38HK6v9ELiViNMVoEG/310x430/1702401172.jpeg?s=ea83a1e69bb7b1b3492633ecf27990bb39895191,"CERCEDILLA, ESPAGNE",Men
Nike Blazers ,24.0,NIKE,"BLANC, MARINE","42,5",https://www.vinted.fr/items/3820515453-nike-blazers?referrer=catalog,https://images1.vinted.net/t/02_01f01_DcJ5KbSmjkyuPEvJueqhKE3D/310x430/1701344997.jpeg?s=e801a3a9cf469bcd3e2ba7c24f5d91c28ba18877,"SANTENY, FRANCE",Men
Nike blazer ,15.0,NIKE,BLANC,"40,5",https://www.vinted.fr/items/3557326333-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00d56_eisUg4wMw9fjUUzqhj7bz3rr/310x430/1696336842.jpeg?s=526b3e6f577fdccfbe19c2237485b92b3d9d8610,FRANCE,Men
Nike Blazer,30.0,NIKE,BLANC,46,https://www.vinted.fr/items/3873687672-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_019c7_vugvUrT2AcQ8mBicRQmx44Va/310x430/1702333827.jpeg?s=90826e141f7d0a6df622f171169aea81b5794d75,ITALIE,Men
Nike blazer ,18.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3619569677-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00d2c_TZZMirBWEFUuMJthdDRA9uGi/310x430/1697476033.jpeg?s=4a3d55c14492f7cef3d9a53d413a230e2a6e3a74,"LUNEL, FRANCE",Men
Nike blazer,50.0,NIKE,BLANC,39,https://www.vinted.fr/items/3265930882-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_01e4a_eMJ6sHD6r7SRdgREV259cBi9/310x430/1690030621.jpeg?s=1c8d14c2d6f04bb76606c60bb6b1ed49ddc9d263,"NÎMES, FRANCE",Men
blazer nike,20.0,NIKE,"BLANC, BEIGE","42,5",https://www.vinted.fr/items/3695698207-blazer-nike?referrer=catalog,https://images1.vinted.net/t/02_00e61_W2ezonqVkTdu5bBVmX25bLFT/310x430/1698848746.jpeg?s=22670ac690724588ad3e685e0a3e1744c1f2cb02,"TRAVAGLIATO, ITALIE",Men
Nike Jordan Série ES taille 45,40.0,NIKE,BLANC,45,https://www.vinted.fr/items/3876740475-nike-jordan-serie-es-taille-45?referrer=catalog,https://images1.vinted.net/t/03_002ac_PuGMoZpuhamcZma981JiCAKC/310x430/1702411994.jpeg?s=fa9d6b448824fb8aceef7cfa87a8ea229fc50e20,FRANCE,Men
Nike blazer ,50.0,NIKE,"BLEU, MULTICOLORE",43,https://www.vinted.fr/items/3879691342-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_0119a_EGcjcsvEg681QBDV6h4U8mhv/310x430/1702490772.jpeg?s=aa1c32b20576889db6a2347f36e1c3de9df94fc1,"TORRE ANNUNZIATA, ITALIE",Men
Nike Blazer Mid 77 ,85.0,NIKE,"NOIR, BLANC","42,5",https://www.vinted.fr/items/1820253544-nike-blazer-mid-77,https://images1.vinted.net/t/02_00986_zv4t2ZigsfaKN6L54sn6omU5/310x430/1652289094.jpeg?s=d7f55430af5291eb0a54643b6053d223697530db,"LE HAVRE, FRANCE",Men
Basket Nike blazer 41,40.0,NIKE,"NOIR, GRIS",41,https://www.vinted.fr/items/3880520717-basket-nike-blazer-41?referrer=catalog,https://images1.vinted.net/t/01_01f40_7PvvnPkkBWyra4fZGiE3tHfi/310x430/1702506166.jpeg?s=eef187e109d5343501c4075620354116267cbd46,"BRUAY-SUR-L’ESCAUT, FRANCE",Men
Nike Blazer ,21.0,NIKE,BLANC,39,https://www.vinted.fr/items/3870081209-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_008e2_sqTV3oBu6V6t77RXQFuMVXmB/310x430/1702257724.jpeg?s=4bab3c6ea4be662016428d8b0f45574af440aec0,PORTUGAL,Men
Nike blazer,25.0,NIKE,BLANC,43,https://www.vinted.fr/items/3794002894-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_0031f_g31eaHmEiAAmnd54Z2nFSdWW/310x430/1700649466.jpeg?s=868a25f00e628a32cee90addda9a5cdd7af8091a,"IFS, FRANCE",Men
Nike blazer,30.0,NIKE,"ROUGE, BORDEAUX",38,https://www.vinted.fr/items/3860399241-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_006e0_VAoCANYWmMAXuUPfPVDmwCha/310x430/1702064222.jpeg?s=04cceb37d26fe9ee2f4b4b3a17a97d7045fb6b6b,"LAGUENNE, FRANCE",Men
Nike Blazers ,30.0,NIKE,"BEIGE, MARRON",41,https://www.vinted.fr/items/3346062279-nike-blazers?referrer=catalog,https://images1.vinted.net/t/02_00f5f_4e5DvQ7KStu2dCCzK3FoMTsG/310x430/1695992446.jpeg?s=dba3cd36868e32e06089215e68b5262adba847aa,"ROMANS-SUR-ISÈRE, FRANCE",Men
Nike blazer ,25.0,NIKE,BLEU,40,https://www.vinted.fr/items/3865022783-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_025a4_TM5ujicjmeugx7kWdeDv3rFv/310x430/1702170719.jpeg?s=fdbf3a8a609165920597fc4fc0e384e229d59363,FRANCE,Men
Nike Blazer,30.0,NIKE,BLANC,45,https://www.vinted.fr/items/3803481626-nike-blazer?referrer=catalog,https://images1.vinted.net/t/01_00ae4_P51VsEd8gCUQutXtq7hTWsbJ/310x430/1700839852.jpeg?s=e8df14aae6a48419c961a00872c99cc52d7c7e38,FRANCE,Men
Nike Blazer,40.0,NIKE,BLANC,42,https://www.vinted.fr/items/3393520804-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00ba6_8Mt9kiTWWL3LtycmvcKRxf7K/310x430/1693059050.jpeg?s=88021d3eb9642901339916140bc20f786d75b439,"MARSEILLE, FRANCE",Men
Nike blazer,20.0,NIKE,NOIR,41,https://www.vinted.fr/items/3866159488-nike-blazer?referrer=catalog,https://images1.vinted.net/t/02_00cdb_awahqquLzrJWXnHDSRg7d5FW/310x430/1702208160.jpeg?s=670fc73449dd432fdafafee27de51266f20066c7,"BOLOGNA, ITALIE",Men
