Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Nike air force 1,7.0,NIKE,NOIR,22,https://www.vinted.fr/items/3601343997-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_01fb0_sYRRfpFegkZfvSuku2JzePZJ/310x430/1697187797.jpeg?s=dc285b0c102a4bb157165c8467092ebc2d5cf68f,"RIMINI, ITALIE",Kid,191.8410621094338,405,213.1589378905662,117.33137931034476,110.33137931034476
Nike air force 1 ,7.0,NIKE,NOIR,18,https://www.vinted.fr/items/3843752855-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00976_85DTKDKdndZqaJYpNMyNfzMp/310x430/1701685555.jpeg?s=d28cc0a252aea89c71bafecd20a890474bb7a072,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,110.33137931034476
Air force 1 bébé ,8.0,NIKE,"NOIR, BLANC",25,https://www.vinted.fr/items/3566841192-air-force-1-bebe?referrer=catalog,https://images1.vinted.net/t/02_0071d_U5d4jN8Ex3qyPvyhK7bmNzkz/310x430/1696519160.jpeg?s=59abdc2ef15f56ed46fdc006801834d0d96406ab,"CAPPELLE-LA-GRANDE, FRANCE",Kid,47.63091048681162,405,357.3690895131884,117.33137931034476,109.33137931034476
Air force one 1  Nike ,8.0,NIKE,BLANC,22,https://www.vinted.fr/items/3685720094-air-force-one-1-nike?referrer=catalog,https://images1.vinted.net/t/02_01d21_WzSypwuRq6dRGQFDuFRQVFwV/310x430/1698659698.jpeg?s=b4916afec2834da0591ccfa5ec1f4d56d6bd96ef,"NOISY-LE-GRAND, FRANCE",Kid,2.953099152553423,405,402.0469008474466,117.33137931034476,109.33137931034476
Air Force 1,8.0,NIKE,NOIR,21,https://www.vinted.fr/items/3368341947-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_00428_orTjTwaWnYfJKFWQrCvNtxQp/310x430/1692462511.jpeg?s=6fec6f0ca9671b77a34426d69b5e5279152530f9,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,109.33137931034476
Nike Air force 1,8.99,NIKE,GRIS,38,https://www.vinted.fr/items/3659438394-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01f7b_EVtGcS517dnFrbMxfwF6yAh7/310x430/1698163215.jpeg?s=6de64ba565ca5f6e9cae453b3385104c26519c9e,"AURELIA DI CIVITAVECCHIA, ITALIE",Kid,209.55634825255967,405,195.44365174744036,117.33137931034476,108.34137931034476
Nike Air Force 1,9.0,NIKE,BLANC,"38,5",https://www.vinted.fr/items/3850051271-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_02311_bcKpTshhRctP5BvmaktWV8nu/310x430/1701809168.jpeg?s=a6870fc29b81f91b0a9e363f73da8c8fa1e23aef,"MADRID, ESPAGNE",Women,210.593392494884,405,194.406607505116,117.33137931034476,108.33137931034476
Nike Air Force 1,9.0,NIKE,BLANC,"38,5",https://www.vinted.fr/items/3850051271-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_02311_bcKpTshhRctP5BvmaktWV8nu/310x430/1701809168.jpeg?s=a6870fc29b81f91b0a9e363f73da8c8fa1e23aef,"MADRID, ESPAGNE",Men,210.593392494884,405,194.406607505116,117.33137931034476,108.33137931034476
Nike Air Force 1 ,10.0,NIKE,"NOIR, BLANC","38,5",https://www.vinted.fr/items/3429149487-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_005b1_6tyTfTamVzKbS7hUXHbkCa3Y/310x430/1693742499.jpeg?s=188e74ac87db1f2055e09c72e0b4b5865ec1eaf5,"MEDICINA, ITALIE",Women,172.09793855614907,405,232.90206144385093,117.33137931034476,107.33137931034476
Nike Air force 1,10.0,NIKE,BLANC,25,https://www.vinted.fr/items/3870917624-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_01f69_8noLLccHHgQDhw7VZyQMYgzN/310x430/1702293900.jpeg?s=ed687f54a6e86fa6e4309c5fc47c5e0062b5f96a,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,107.33137931034476
