Title;Price;Brand;Color;Size;Link;Image Source;Localisation;Gender;Approximate Carbon Footprint (kg CO2);Approximative Carbon Print from Ordering on Nike (kg CO2/ton);Carbon Profit (kg CO2);Average price of the product on Nike;Profit Made;
Nike blazer;7.0;NIKE;GRIS, ROSE;38.5;https://www.vinted.fr/items/1471169964-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_00700_XHsQQ3CdjzPjSkvHjX4aiMQR/310x430/1638090522.jpeg?s=49610925956f519eaa686b7d20b12ea957baf29e;VILLAVERLA, ITALIE;Women;155.5296896810997;405;249.4703103189003;88.6856756756756;81.6856756756756;
Nike Blazer;7.0;NIKE;BLEU, BLANC;44;https://www.vinted.fr/items/2690772058-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_012ed_cFCYabNmMsFW9WW3K1P9xDpU/310x430/1676375139.jpeg?s=5ba1d93090128524111ac5e1c11d014eaa2be182;MINIAC-MORVAN, FRANCE;Men;63.06330988438765;405;341.93669011561235;88.6856756756756;81.6856756756756;
Nike Blazer;7.0;NIKE;BORDEAUX;39.0;https://www.vinted.fr/items/3060562066-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_025a0_ViBuPviBczDSfegQdyhJz9gp/310x430/1685011875.jpeg?s=1c5cdb96631e791da929ccd7f0ebb8ac3d809456;ITALIE;Women;211.5912481093571;405;193.4087518906429;88.6856756756756;81.6856756756756;
Nike blazer ;7.0;NIKE;BLANC;36.5;https://www.vinted.fr/items/2248784696-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_02165_bT8DzqHHDVBzzuXCbpsxbShb/310x430/1664293657.jpeg?s=711e8ceff0c024d307ddd1e2ffe9c8e8d1c97f5f;SAINT-BRICE-SOUS-FORÊT, FRANCE;Women;3.1319908028286148;405;401.8680091971714;88.6856756756756;81.6856756756756;
Nike blazer;8.0;NIKE;NOIR;38.5;https://www.vinted.fr/items/86616479-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_014d9_4E9pVqRGq4aAzcR1MSJqh3Fo/310x430/1601447553.jpeg?s=2e745897f28ef8fe80f8ef04ff40b69ab0132fb3;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;80.6856756756756;
Nike blazer ;8.0;NIKE;BLANC;26;https://www.vinted.fr/items/3707170031-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_02012_ppT9C8p7uQrdnfseVjdRLoRb/310x430/1699044312.jpeg?s=e96825a2bcf4a1d5163e2914c271fb983bf6e919;PARIS, FRANCE;Kid;0.0888444020338186;405;404.9111555979662;88.6856756756756;80.6856756756756;
Nike blazer;8.0;NIKE;NOIR;38.5;https://www.vinted.fr/items/86616479-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_014d9_4E9pVqRGq4aAzcR1MSJqh3Fo/310x430/1601447553.jpeg?s=2e745897f28ef8fe80f8ef04ff40b69ab0132fb3;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;80.6856756756756;
Teddy Nike doublé ;8.0;NIKE;MARINE;L;https://www.vinted.fr/items/3828694290-teddy-nike-double?referrer=catalog;https://images1.vinted.net/t/01_0125d_v9XFMGonviZA5yuKo5PxjWUT/310x430/1701349378.jpeg?s=eef8893b788a772559f13d1d1fc8a95caf8879cb;FRANCE;Kid;50.58615778249138;405;354.4138422175086;88.6856756756756;80.6856756756756;
Nike Blazer ;8.0;NIKE;BLANC, ROUGE;36.5;https://www.vinted.fr/items/3564657570-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_00102_oHwGqwCCrbjUbr5kkVMAdwPM/310x430/1697552443.jpeg?s=218efea551c0f356353813a4f8c3bbbb68f12629;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;80.6856756756756;
Nike Blazer ;8.0;NIKE;VIOLET;38.5;https://www.vinted.fr/items/1667619409-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_009e6_GDpVe54UorfNFwN6eSME2FDy/310x430/1646172305.jpeg?s=c403f0be1c3cef22f667c668ec31f9a8d58dd347;CISANO SUL NEVA, ITALIE;Women;138.37514582444746;405;266.6248541755525;88.6856756756756;80.6856756756756;
Nike blazer ;8.0;NIKE;NOIR, BLEU;38.5;https://www.vinted.fr/items/2401110542-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01f06_CkcfcQWyszYXEB9FfMwmheYd/310x430/1668031840.jpeg?s=9180fc13087022e467f973c1b2b006643a9cb9eb;CHARTRES, FRANCE;Women;15.69695485503466;405;389.3030451449653;88.6856756756756;80.6856756756756;
Nike blazer;8.0;NIKE;ROSE;38.0;https://www.vinted.fr/items/201103375-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01558_dYFeKcfZrApJRLj8iUKTs1bH/310x430/1601914409.jpeg?s=96f2a63cb457a4b64321b3eaca32cbe421bbfc02;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;80.6856756756756;
Nike blazer ;8.0;NIKE;NOIR, GRIS;37.5;https://www.vinted.fr/items/852723122-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_00ace_KYPsX6343U91ToWRuun4GXxE/310x430/1610995558.jpeg?s=8b5bafc5538a373514eb453e9576cf330530cfd7;THILLOT, FRANCE;Women;48.730187869958606;405;356.2698121300414;88.6856756756756;80.6856756756756;
Nike blazer;8.0;NIKE;GRIS, ROSE;36.0;https://www.vinted.fr/items/1272518040-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_000c6_P4hSQ1UgoobapdzmdmCyvAVP/310x430/1629799050.jpeg?s=76f5f481a1ef768eed752e057d684a80a6684e21;CHAIGNAY, FRANCE;Women;50.770952483834144;405;354.22904751616585;88.6856756756756;80.6856756756756;
Nike blazer;8.0;NIKE;BORDEAUX;37.5;https://www.vinted.fr/items/2019683600-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_01489_go4pcvLskUZidyNt8xvqD3S5/310x430/1657223045.jpeg?s=a1d753db63088fdffdd05898799d9b558efc69bb;CAGNES-SUR-MER, FRANCE;Women;137.1103467849457;405;267.8896532150543;88.6856756756756;80.6856756756756;
Nike Blazer;8.0;NIKE;BLEU, BLANC;40;https://www.vinted.fr/items/1404169703-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_01e79_pRUUXufwFiRFaKGYLT62Su8T/310x430/1635374679.jpeg?s=0765395a79deedbc04fb217bf9477840dcb1cf03;ROMA, ITALIE;Men;221.3258796064532;405;183.6741203935468;88.6856756756756;80.6856756756756;
Nike Blazer;8.0;NIKE;GRIS;38.0;https://www.vinted.fr/items/69619551-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_01275_3xqRnKE7vF7kAKMJhH11Fkff/310x430/1601517986.jpeg?s=b64ce1219e5688e859bd07a56a50694ec65fdbb6;LE PÊCHEREAU, FRANCE;Women;52.0873243604386;405;352.91267563956137;88.6856756756756;80.6856756756756;
Nike blazer;8.0;NIKE;NOIR, BLANC;38.5;https://www.vinted.fr/items/3221377177-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_007ea_Vye88dkbV9K4RHRYj9NW2Pcm/310x430/1688885356.jpeg?s=3916bef883bdad7c8f973fac66480fcb2aae5a2a;MESSINA, ITALIE;Women;317.9900786467059;405;87.00992135329409;88.6856756756756;80.6856756756756;
Basket blazer nike ;8.0;NIKE;BLEU;21;https://www.vinted.fr/items/3592478035-basket-blazer-nike?referrer=catalog;https://images1.vinted.net/t/01_001a4_JgvSP8JVqFafnpXrd2Dasm8r/310x430/1697009385.jpeg?s=bd0513e7b2a3de5387bdf1d310b7cf3ce71e9489;HAGUENAU, FRANCE;Kid;79.80544756575678;405;325.19455243424323;88.6856756756756;80.6856756756756;
Basket Nike;8.0;NIKE;NOIR, BLANC;19;https://www.vinted.fr/items/3350423132-basket-nike?referrer=catalog;https://images1.vinted.net/t/01_01752_mF8FCktST5YEEc2xQ7vFgTZX/310x430/1692027285.jpeg?s=bd9a1106ff7bf19946bcd37b6ca6a8c191179019;FRANCE;Kid;50.58615778249138;405;354.4138422175086;88.6856756756756;80.6856756756756;
Blazer bébé ;8.0;NIKE;BLANC;22;https://www.vinted.fr/items/3799100590-blazer-bebe?referrer=catalog;https://images1.vinted.net/t/03_007ce_7J4TrsaXUwad2yqH5UGkb8aR/310x430/1700746104.jpeg?s=e71dca027451168828dcc22d9d2c9948e3c6a2cf;FONTENAY, FRANCE;Kid;35.26191378628572;405;369.73808621371427;88.6856756756756;80.6856756756756;
Nike blazer ;8.61;NIKE;BLEU;41;https://www.vinted.fr/items/2572895037-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_005df_wf1cZb7sKZcobseEgJtvDhB5/310x430/1673263234.jpeg?s=5a25cc8f390ea21f2b966df5ae4904db8f79cb56;ROMA, ITALIE;Men;221.3258796064532;405;183.6741203935468;88.6856756756756;80.0756756756756;
Nike blazer ;8.61;NIKE;BLEU;41;https://www.vinted.fr/items/2572895037-nike-blazer?referrer=catalog;https://images1.vinted.net/t/01_005df_wf1cZb7sKZcobseEgJtvDhB5/310x430/1673263234.jpeg?s=5a25cc8f390ea21f2b966df5ae4904db8f79cb56;ROMA, ITALIE;Men;221.3258796064532;405;183.6741203935468;88.6856756756756;80.0756756756756;
Nike Blazer;9.0;NIKE;BLEU;45;https://www.vinted.fr/items/877971928-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_012f3_Gf2z9Ak2yhwc7P76kwDUyaLe/310x430/1648311713.jpeg?s=350004adf2b88fa31c8d0c7d48a0a1d9e6e209da;MONTALTO UFFUGO, ITALIE;Men;303.9908992317859;405;101.00910076821413;88.6856756756756;79.6856756756756;
Nike blazer ;9.0;NIKE;NOIR;36.5;https://www.vinted.fr/items/3853671867-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_006e2_qDxV6M68M23xhjCRHaSKZayK/310x430/1701894548.jpeg?s=5000d22c534d843436f70aa2626cef0e6da3ab20;SERRAMAZZONI, ITALIE;Women;162.35155086660785;405;242.64844913339215;88.6856756756756;79.6856756756756;
Nike blazer ;9.0;NIKE;GRIS, BLEU;38.0;https://www.vinted.fr/items/1993770078-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_02493_ryXesX2BT3YzReTvDnnhcbDS/310x430/1656320758.jpeg?s=8397e35f72616808de666a08e09327813c52850f;PARIS, FRANCE;Women;0.0888444020338186;405;404.9111555979662;88.6856756756756;79.6856756756756;
Nike blazer;9.0;NIKE;ROSE, BLEU;38.5;https://www.vinted.fr/items/3015503595-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_01456_sqhaUcStpvdPXq3qMM1SczAk/310x430/1683990711.jpeg?s=93db739ea6d77361d2f8cb0d06c1cc8104e8b8d5;TOULOUSE, FRANCE;Women;117.59588821571727;405;287.40411178428275;88.6856756756756;79.6856756756756;
Nike blazer ;9.0;NIKE;GRIS, BEIGE;39;https://www.vinted.fr/items/2828630169-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_0085b_uBkPc6wtKvaXYBjz85ymBBoS/310x430/1679758870.jpeg?s=1581d5b27193b4b8e825b3100ce94a3240f71fad;DIJON, FRANCE;Men;52.63222923075136;405;352.36777076924864;88.6856756756756;79.6856756756756;
Nike Blazer ;9.0;NIKE;BLEU, ORANGE;38.0;https://www.vinted.fr/items/787179250-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_01134_zky4fRVX4ze62quWFHk8eXkG/310x430/1607364525.jpeg?s=fa7a93732c877582de3033ddc9fd407b5ff67932;SAINT-LAURENT, FRANCE;Women;125.27905269511734;405;279.72094730488266;88.6856756756756;79.6856756756756;
Blazer Nike ;9.5;NIKE;ROSE, BLEU;38.0;https://www.vinted.fr/items/34289798-blazer-nike?referrer=catalog;https://images1.vinted.net/t/01_007ad_Hx4DU1maZrUj74y5HZwyjJQL/310x430/1601353449.jpeg?s=8baee15ba6e019146cabd23aff4e50b02ac0efee;LA GARENNE-COLOMBES, FRANCE;Women;1.911546501506194;405;403.08845349849383;88.6856756756756;79.1856756756756;
nike blazer;10.0;NIKE;ROUGE;40.5;https://www.vinted.fr/items/2836000226-nike-blazer?referrer=catalog;https://images1.vinted.net/t/02_002bd_EUhXSTxagMmjboAMBQQfiPV6/310x430/1679910345.jpeg?s=531ff52d18bdfb4ff4657b453ec734ee5f8e4502;FRANCE;Women;50.58615778249138;405;354.4138422175086;88.6856756756756;78.6856756756756;
Nike blazer ;10.0;NIKE;BORDEAUX;42;https://www.vinted.fr/items/3160318898-nike-blazer?referrer=catalog;https://images1.vinted.net/t/03_00d92_Mp8BooRppFfc3tBRe49bs7Da/310x430/1687338888.jpeg?s=fafd51a74d9a19e240b69b4aced685d11b33e3d4;ITALIE;Men;211.5912481093571;405;193.4087518906429;88.6856756756756;78.6856756756756;
